KPMG,KPMG
MWC,MWC
5G,5G
4G,4G
B2B,B2B
B2C,B2C
COVID-19,COVID-19
US$,US$
5G+Edge,5G+Edge
4G+Cloud,4G+Cloud
edge computing,エッジコンピューティング
4.3 trillion,4.3兆
4.3 trillion upside,4.3兆ドルの増益機会
trillion,兆
billion,十億
telcos,電気通信事業者
value chains,バリューチェーン
revenue models,収益モデル
manufacturing,製造業
business challenges,ビジネス課題
economic recovery,経済回復
high bandwidth,高帯域幅
time-sensitive,時間的制約のある
innovative value creation,革新的な価値創造
independent firms,独立した加盟事務所
affiliated,提携
rights reserved,著作権所有
enterprise value,企業価値
insight led,インサイト主導
value drivers,バリュードライバー
incremental economic value,増分経済価値
ecosystem,エコシステム
findings,調査結果
hypothesis,仮説
imperative,急務
centralized location,中央集中型の場所
bandwidth devices,帯域幅デバイス
innovative value,革新的な価値
successful implementation,導入の成功
US$4.3 trillion,4.3兆米ドル
